	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/10/2011	 0.31	  $            153,402	 2191	  $              8,152	  	  
1/11/2011	 -0.24	  $            161,554	 2308	  $            (6,647)	  	  
1/12/2011	 0.11	  $            154,907	 2213	  $              2,921	  	  
1/13/2011	 -0.11	  $            157,828	 2255	  $            (2,976)	  	  
1/14/2011	 0.19	  $            154,852	 2212	  $              5,044	  	  
 	  	  $            159,896	  	  	  $          6,494	 4%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/17/2011	  	  $            159,896	 2284	  $                       -	  	  
1/18/2011	 0.10	  $            159,896	 2284	  $              2,741	  	  
1/19/2011	 -0.17	  $            162,637	 2323	  $            (4,740)	  	  
1/20/2011	 0.23	  $            157,897	 2256	  $              6,226	  	  
1/21/2011	 -0.12	  $            164,123	 2345	  $            (3,376)	  	  
 	  	  $            160,747	  	  	  $              851	 1%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/24/2011	 -0.41	  $            160,747	 2296	  $         (11,298)	  	  
1/25/2011	 -0.13	  $            149,449	 2135	  $            (3,331)	  	  
1/26/2011	 0.07	  $            146,118	 2087	  $              1,753	  	  
1/27/2011	 0.19	  $            147,871	 2112	  $              4,816	  	  
1/28/2011	 -0.14	  $            152,688	 2181	  $            (3,665)	  	  
 	  	  $            149,023	  	  	  $      (11,723)	 -7%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
1/31/2011	 0.22	  $            149,023	 2129	  $              5,620	  	  
2/1/2011	 -0.04	  $            154,644	 2209	  $            (1,060)	  	  
2/2/2011	 0.01	  $            153,583	 2194	  $                  263	  	  
2/3/2011	 0.43	  $            153,846	 2198	  $            11,341	  	  
2/4/2011	 0.31	  $            165,187	 2360	  $              8,779	  	  
 	  	  $            173,966	  	  	  $        24,942	 17%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/7/2011	 -0.15	  $            173,966	 2485	  $            (4,473)	  	  
2/8/2011	 0.16	  $            169,492	 2421	  $              4,649	  	  
2/9/2011	 -0.01	  $            174,141	 2488	  $               (299)	  	  
2/10/2011	 -0.12	  $            173,843	 2483	  $            (3,576)	  	  
2/11/2011	  	  $            170,266	 2432	  $                       -	  	  
 	  	  $            170,266	  	  	  $        (3,699)	 -2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/14/2011	 0.03	  $            170,266	 2432	  $                  876	  	  
2/15/2011	 0.08	  $            171,142	 2445	  $              2,347	  	  
2/16/2011	 0.20	  $            173,489	 2478	  $              5,948	  	  
2/17/2011	 -0.01	  $            179,437	 2563	  $               (308)	  	  
2/18/2011	 -0.15	  $            179,130	 2559	  $            (4,606)	  	  
 	  	  $            174,524	  	  	  $          4,257	 3%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/21/2011	  	  $            174,524	 2493	  $                       -	  	  
2/22/2011	 -0.52	  $            174,524	 2493	  $         (15,558)	  	  
2/23/2011	 -0.30	  $            158,966	 2271	  $            (8,175)	  	  
2/24/2011	 -0.20	  $            150,791	 2154	  $            (5,170)	  	  
2/25/2011	 0.02	  $            145,621	 2080	  $                  499	  	  
 	  	  $            146,120	  	  	  $      (28,404)	 -16%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
2/28/2011	 0.15	  $            146,120	 2087	  $              3,757	  	  
3/1/2011	 -0.44	  $            149,877	 2141	  $         (11,305)	  	  
3/2/2011	 -0.12	  $            138,572	 1980	  $            (2,851)	  	  
